"","week","fecha","ambito_nombre","this_year","mean","q99"
"1",5,2024-01-30,"C. I. Cataluña",0.158050221565731,0.624882189551809,0.941913746761266
"2",5,2024-01-30,"C. I. País Vasco",0.857142857142857,0.832046332046332,1
"3",5,2024-01-30,"Cantábrico Occ.",0.782608695652174,0.736687024652798,1
"4",5,2024-01-30,"Cantábrico Or.",0.876712328767123,0.774815732116499,0.945205479452055
"5",5,2024-01-30,"Duero",0.673314993122421,0.597947264431454,0.935688237477732
"6",5,2024-01-30,"Ebro",0.64447942433101,0.656461235843084,0.887881328603676
"7",5,2024-01-30,"Galicia Costa",0.759493670886076,0.708307074562904,0.936708860759494
"8",5,2024-01-30,"Guadalete-Barbate",0.145972138098122,0.547189074470057,0.943395997574287
"9",5,2024-01-30,"Guadalquivir",0.211067888066257,0.517987155642825,0.915145486197463
"10",5,2024-01-30,"Guadiana",0.328056196267561,0.552931798736308,0.919362434673621
"11",5,2024-01-30,"Júcar",0.459229058561898,0.344873369670108,0.607346182357302
"12",5,2024-01-30,"Med. Andaluza",0.183134582623509,0.487191620108029,0.814494477485132
"13",5,2024-01-30,"Miño-Sil",0.580110497237569,0.541115073231202,0.933701657458563
"14",5,2024-01-30,"Segura",0.17636684303351,0.28689611994776,0.723348017621145
"15",5,2024-01-30,"Tajo",0.510539046302695,0.452983543777155,0.702451838879159
"16",5,2024-01-30,"Tinto, Odiel, Piedras",0.707423580786026,0.800195696473714,0.989247311827957
"17",5,2024-01-30,"Total España",0.390318090426355,0.519509622255283,0.824849934099724
"18",6,2024-02-06,"C. I. Cataluña",0.156573116691285,0.624493069654106,0.941913746761266
"19",6,2024-02-06,"C. I. País Vasco",0.80952380952381,0.833204633204633,1
"20",6,2024-02-06,"Cantábrico Occ.",0.760869565217391,0.744020371822324,1
"21",6,2024-02-06,"Cantábrico Or.",0.849315068493151,0.782064922574182,0.945205479452055
"22",6,2024-02-06,"Duero",0.676066024759285,0.610396495037313,0.935688237477732
"23",6,2024-02-06,"Ebro",0.647852484821228,0.665167760953798,0.887881328603676
"24",6,2024-02-06,"Galicia Costa",0.759493670886076,0.717584673280876,0.936708860759494
"25",6,2024-02-06,"Guadalete-Barbate",0.145972138098122,0.559012364714442,0.943395997574287
"26",6,2024-02-06,"Guadalquivir",0.211820805621784,0.527378321389763,0.915145486197463
"27",6,2024-02-06,"Guadiana",0.329838540574544,0.55791214485109,0.919362434673621
"28",6,2024-02-06,"Júcar",0.463306152705708,0.351299537141581,0.607346182357302
"29",6,2024-02-06,"Med. Andaluza",0.182282793867121,0.497129372947295,0.814494477485132
"30",6,2024-02-06,"Miño-Sil",0.591160220994475,0.565461154517031,0.933701657458563
"31",6,2024-02-06,"Segura",0.17636684303351,0.292279843340132,0.723348017621145
"32",6,2024-02-06,"Tajo",0.511748445058742,0.459918899896127,0.702451838879159
"33",6,2024-02-06,"Tinto, Odiel, Piedras",0.707423580786026,0.803384077970906,0.989247311827957
"34",6,2024-02-06,"Total España",0.391916275712739,0.527437528776198,0.824849934099724
"35",7,2024-02-13,"C. I. Cataluña",0.153618906942393,0.622416415083886,0.941913746761266
"36",7,2024-02-13,"C. I. País Vasco",0.80952380952381,0.848777348777349,1
"37",7,2024-02-13,"Cantábrico Occ.",0.760869565217391,0.745936489930347,1
"38",7,2024-02-13,"Cantábrico Or.",0.835616438356164,0.788200825016657,0.945205479452055
"39",7,2024-02-13,"Duero",0.684319119669876,0.623216749324445,0.935688237477732
"40",7,2024-02-13,"Ebro",0.65504834720036,0.673290104135163,0.887881328603676
"41",7,2024-02-13,"Galicia Costa",0.746835443037975,0.723481642868718,0.936708860759494
"42",7,2024-02-13,"Guadalete-Barbate",0.155057540884313,0.56364214260104,0.943395997574287
"43",7,2024-02-13,"Guadalquivir",0.230141799472958,0.533700880011518,0.915145486197463
"44",7,2024-02-13,"Guadiana",0.346403858251206,0.552510737907664,0.919362434673621
"45",7,2024-02-13,"Júcar",0.466271312083024,0.357171901826147,0.607346182357302
"46",7,2024-02-13,"Med. Andaluza",0.185689948892675,0.504707782229308,0.814494477485132
"47",7,2024-02-13,"Miño-Sil",0.599447513812155,0.588380831206928,0.933701657458563
"48",7,2024-02-13,"Segura",0.177248677248677,0.299035545159378,0.723348017621145
"49",7,2024-02-13,"Tajo",0.530753282653766,0.467624295557197,0.702451838879159
"50",7,2024-02-13,"Tinto, Odiel, Piedras",0.755458515283843,0.799612372830146,0.989247311827957
"51",7,2024-02-13,"Total España",0.405011084188277,0.531918883921631,0.824849934099724
"52",8,2024-02-20,"C. I. Cataluña",0.150664697193501,0.622303936533325,0.941913746761266
"53",8,2024-02-20,"C. I. País Vasco",0.80952380952381,0.859073359073359,1
"54",8,2024-02-20,"Cantábrico Occ.",0.782608695652174,0.763613309303879,1
"55",8,2024-02-20,"Cantábrico Or.",0.821917808219178,0.795523384251871,0.945205479452055
"56",8,2024-02-20,"Duero",0.697042640990371,0.634317852644235,0.935688237477732
"57",8,2024-02-20,"Ebro",0.666067011468406,0.680669607509812,0.887881328603676
"58",8,2024-02-20,"Galicia Costa",0.746835443037975,0.725466805913175,0.936708860759494
"59",8,2024-02-20,"Guadalete-Barbate",0.170199878861296,0.569666890746682,0.943395997574287
"60",8,2024-02-20,"Guadalquivir",0.24545112310202,0.539941185266591,0.915145486197463
"61",8,2024-02-20,"Guadiana",0.361920738100231,0.562650031543539,0.919362434673621
"62",8,2024-02-20,"Júcar",0.470348406226835,0.362501240900454,0.607346182357302
