codigo_mun,mun,prov,ccaa,renta_neta_media_por_persona
28101,Olmeda de las Fuentes,Madrid,"Madrid, Comunidad de",16457
28102,Orusco de Tajuña,Madrid,"Madrid, Comunidad de",10757
28104,Paracuellos de Jarama,Madrid,"Madrid, Comunidad de",17359
28106,Parla,Madrid,"Madrid, Comunidad de",10251
28107,Patones,Madrid,"Madrid, Comunidad de",14787
28108,Pedrezuela,Madrid,"Madrid, Comunidad de",14043
28109,Pelayos de la Presa,Madrid,"Madrid, Comunidad de",10288
28110,Perales de Tajuña,Madrid,"Madrid, Comunidad de",10670
28111,Pezuela de las Torres,Madrid,"Madrid, Comunidad de",12674
28112,Pinilla del Valle,Madrid,"Madrid, Comunidad de",15173
28113,Pinto,Madrid,"Madrid, Comunidad de",13665
28114,Piñuécar-Gandullas,Madrid,"Madrid, Comunidad de",13475
28115,Pozuelo de Alarcón,Madrid,"Madrid, Comunidad de",27167
28116,Pozuelo del Rey,Madrid,"Madrid, Comunidad de",12301
28117,Prádena del Rincón,Madrid,"Madrid, Comunidad de",19093
28118,Puebla de la Sierra,Madrid,"Madrid, Comunidad de",15245
28119,Quijorna,Madrid,"Madrid, Comunidad de",12606
28120,Rascafría,Madrid,"Madrid, Comunidad de",14687
28121,Redueña,Madrid,"Madrid, Comunidad de",14358
28122,Ribatejada,Madrid,"Madrid, Comunidad de",12708
28123,Rivas-Vaciamadrid,Madrid,"Madrid, Comunidad de",16184
28124,Robledillo de la Jara,Madrid,"Madrid, Comunidad de",14059
28125,Robledo de Chavela,Madrid,"Madrid, Comunidad de",13285
28126,Robregordo,Madrid,"Madrid, Comunidad de",15245
28127,Las Rozas de Madrid,Madrid,"Madrid, Comunidad de",21254
28128,Rozas de Puerto Real,Madrid,"Madrid, Comunidad de",12974
28129,San Agustín del Guadalix,Madrid,"Madrid, Comunidad de",17250
28130,San Fernando de Henares,Madrid,"Madrid, Comunidad de",13234
28131,San Lorenzo de El Escorial,Madrid,"Madrid, Comunidad de",15018
28132,San Martín de la Vega,Madrid,"Madrid, Comunidad de",11115
28133,San Martín de Valdeiglesias,Madrid,"Madrid, Comunidad de",11339
28134,San Sebastián de los Reyes,Madrid,"Madrid, Comunidad de",16371
28135,Santa María de la Alameda,Madrid,"Madrid, Comunidad de",11664
28136,Santorcaz,Madrid,"Madrid, Comunidad de",12892
28137,Los Santos de la Humosa,Madrid,"Madrid, Comunidad de",12241
28138,La Serna del Monte,Madrid,"Madrid, Comunidad de",12039
28140,Serranillos del Valle,Madrid,"Madrid, Comunidad de",13299
28141,Sevilla la Nueva,Madrid,"Madrid, Comunidad de",13523
28143,Somosierra,Madrid,"Madrid, Comunidad de",15245
28144,Soto del Real,Madrid,"Madrid, Comunidad de",17024
28145,Talamanca de Jarama,Madrid,"Madrid, Comunidad de",12685
28146,Tielmes,Madrid,"Madrid, Comunidad de",11015
28147,Titulcia,Madrid,"Madrid, Comunidad de",12100
28148,Torrejón de Ardoz,Madrid,"Madrid, Comunidad de",12745
28149,Torrejón de la Calzada,Madrid,"Madrid, Comunidad de",13235
28150,Torrejón de Velasco,Madrid,"Madrid, Comunidad de",12792
28151,Torrelaguna,Madrid,"Madrid, Comunidad de",12527
28152,Torrelodones,Madrid,"Madrid, Comunidad de",21537
28153,Torremocha de Jarama,Madrid,"Madrid, Comunidad de",15471
28154,Torres de la Alameda,Madrid,"Madrid, Comunidad de",12044
28155,Valdaracete,Madrid,"Madrid, Comunidad de",11586
28156,Valdeavero,Madrid,"Madrid, Comunidad de",12323
28157,Valdelaguna,Madrid,"Madrid, Comunidad de",11987
28158,Valdemanco,Madrid,"Madrid, Comunidad de",13220
28159,Valdemaqueda,Madrid,"Madrid, Comunidad de",10848
28160,Valdemorillo,Madrid,"Madrid, Comunidad de",15433
28161,Valdemoro,Madrid,"Madrid, Comunidad de",13327
28162,Valdeolmos-Alalpardo,Madrid,"Madrid, Comunidad de",15225
28163,Valdepiélagos,Madrid,"Madrid, Comunidad de",12741
28164,Valdetorres de Jarama,Madrid,"Madrid, Comunidad de",12878
28165,Valdilecha,Madrid,"Madrid, Comunidad de",10947
28166,Valverde de Alcalá,Madrid,"Madrid, Comunidad de",12194
28167,Velilla de San Antonio,Madrid,"Madrid, Comunidad de",13252
28168,El Vellón,Madrid,"Madrid, Comunidad de",12050
28169,Venturada,Madrid,"Madrid, Comunidad de",19678
28170,Villaconejos,Madrid,"Madrid, Comunidad de",10367
28171,Villa del Prado,Madrid,"Madrid, Comunidad de",10970
28172,Villalbilla,Madrid,"Madrid, Comunidad de",16160
28173,Villamanrique de Tajo,Madrid,"Madrid, Comunidad de",11249
28174,Villamanta,Madrid,"Madrid, Comunidad de",11631
28175,Villamantilla,Madrid,"Madrid, Comunidad de",12982
28176,Villanueva de la Cañada,Madrid,"Madrid, Comunidad de",18512
28177,Villanueva del Pardillo,Madrid,"Madrid, Comunidad de",16172
28178,Villanueva de Perales,Madrid,"Madrid, Comunidad de",12185
28179,Villar del Olmo,Madrid,"Madrid, Comunidad de",13862
28180,Villarejo de Salvanés,Madrid,"Madrid, Comunidad de",11417
28181,Villaviciosa de Odón,Madrid,"Madrid, Comunidad de",19257
28182,Villavieja del Lozoya,Madrid,"Madrid, Comunidad de",14433
28183,Zarzalejo,Madrid,"Madrid, Comunidad de",11060
28901,Lozoyuela-Navas-Sieteiglesias,Madrid,"Madrid, Comunidad de",11600
28902,Puentes Viejas,Madrid,"Madrid, Comunidad de",14919
28903,Tres Cantos,Madrid,"Madrid, Comunidad de",20477
