mun,prov,pob_data,tipo,renta,gasto_total_hab
Quart de Poblet,Valencia/València,24848.25,"(1e+04,5e+04]",27655,1067.07
Cullera,Valencia/València,22323,"(1e+04,5e+04]",26477,1466.7
Xirivella,Valencia/València,29784,"(1e+04,5e+04]",27053,577.97
Gandia,Valencia/València,75039.75,"(5e+04,2e+05]",27777,1029.04
Xàtiva,Valencia/València,29339.5,"(1e+04,5e+04]",29888,938.51
Llíria,Valencia/València,23338.75,"(1e+04,5e+04]",28635,881.56
Manises,Valencia/València,31034.75,"(1e+04,5e+04]",27863,820.63
Mislata,Valencia/València,43902.25,"(1e+04,5e+04]",29337,650.11
Moncada,Valencia/València,21908.25,"(1e+04,5e+04]",30490,598.23
Oliva,Valencia/València,25160.75,"(1e+04,5e+04]",26850,933.06
Ontinyent,Valencia/València,35612.25,"(1e+04,5e+04]",28632,816.79
Paiporta,Valencia/València,25970.33,"(1e+04,5e+04]",29542,657.95
Paterna,Valencia/València,70436.75,"(5e+04,2e+05]",32690,777.95
Picassent,Valencia/València,21100.25,"(1e+04,5e+04]",30162,803.12
la Pobla de Vallbona,Valencia/València,24658.5,"(1e+04,5e+04]",33266,795.82
Requena,Valencia/València,20280.25,"(1e+04,5e+04]",27654,674.64
Riba-roja de Túria,Valencia/València,22454,"(1e+04,5e+04]",34916,1388.13
Sagunto/Sagunt,Valencia/València,66628.33,"(5e+04,2e+05]",29925,995.98
Sueca,Valencia/València,27530.5,"(1e+04,5e+04]",28532,977.38
Torrent,Valencia/València,82860,"(5e+04,2e+05]",30123,658.65
València,Valencia/València,793915,"(2e+05,Inf]",34367,972.23
Arroyo de la Encomienda,Valladolid,20266,"(1e+04,5e+04]",37273,785.89
Laguna de Duero,Valladolid,22692,"(1e+04,5e+04]",34607,702.08
Medina del Campo,Valladolid,20463,"(1e+04,5e+04]",27023,801.16
Valladolid,Valladolid,298579.5,"(2e+05,Inf]",33294,871.83
Barakaldo,Bizkaia,100927.25,"(5e+04,2e+05]",32272,1171.83
Basauri,Bizkaia,40683.25,"(1e+04,5e+04]",31422,1331.34
Bilbao,Bizkaia,347313.25,"(2e+05,Inf]",37156,1611.55
Durango,Bizkaia,29791,"(1e+04,5e+04]",42436,1092.42
Galdakao,Bizkaia,29361.25,"(1e+04,5e+04]",38825,1089.12
Getxo,Bizkaia,77997.33,"(5e+04,2e+05]",51647,1327.91
Leioa,Bizkaia,31767.67,"(1e+04,5e+04]",41012,1130.74
Portugalete,Bizkaia,45796,"(1e+04,5e+04]",33214,982.02
Santurtzi,Bizkaia,45905.67,"(1e+04,5e+04]",32491,1231.67
Sestao,Bizkaia,27383.75,"(1e+04,5e+04]",28715,1335.1
Erandio,Bizkaia,24286,"(1e+04,5e+04]",32188,1513.34
Zamora,Zamora,61129.5,"(5e+04,2e+05]",28936,877.85
Calatayud,Zaragoza,20005.25,"(1e+04,5e+04]",29802,1034.24
Zaragoza,Zaragoza,674763.75,"(2e+05,Inf]",34753,1002.14
