NOMBRE;CIRCUNSCRIPCION;FORMACIONELECTORAL;FECHACONDICIONPLENA;FECHAALTA;GRUPOPARLAMENTARIO;FECHAALTAENGRUPOPARLAMENTARIO;FECHABAJAENGRUPOPARLAMENTARIO;BIOGRAFIA
Losada Fernández, José;Sevilla;PSOE;28/11/2023;28/11/2023;Grupo Parlamentario Socialista;28/11/2023;;Casado, con dos hijas.  Diplomado en Magisterio.  Maestro Funcionario de Carrera, en el IES Cañada Rosal (Sevilla)  Alcalde de Cañada Rosal desde 1997 a 2016.  Diputado provincial de Sevilla, Presidente de la Mancomunidad de Écija, Secretario del Grupo de Desarrollo Local Campiña Alcores.
Lucas Ayala, Francisco;Murcia;PSOE;17/08/2023;10/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Soltero.   Licenciado en Derecho.   Letrado ejerciente por cuenta propia, 2014-2019.   Alcalde Pedáneo de El Raal, Murcia (2015-2019).   Diputado regional Asamblea Región de Murcia 2019-2023.   Portavoz del GPS Asamblea Región de Murcia 2021-2023. 
Macías Gata, Alfonso Carlos;Badajoz;PP;17/08/2023;14/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Casado.  Licenciado en Ciencias Económicas y Empresariales. UEX. Diplomado en Ciencias Empresariales UEX. Máster universitario en Economía, Gestión y Comercio Internacional UEX. Máster en Tributación y Asesoría Fiscal. CEF Madrid. 
Alcalde de Barcarrota (2003-2007; 2011-2023). Vicesecretario de Transparencia y Tesorero PP Badajoz desde 2021"
Madrenas i Mir, Marta;Girona;JxCAT-JUNTS;17/08/2023;10/08/2023;Grupo Parlamentario Junts per Catalunya;28/08/2023;;Madre de una hija y un hijo.   Licenciada en Derecho por la UAB.   Abogada, API y docente universitaria.   Presidenta del COAPI entre 2003 y 2010.   Vocal consultora Cámara de Comercio entre 2009 y 2011.   Empresaria inmobiliaria desde 1994.   Alcaldesa de Girona desde 2016 hasta 2023.   Diputada del Parlament de Catalunya desde 2018. 
Madrid Olmo, Bartolomé;Córdoba;PP;17/08/2023;11/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado. Dos hijos.  Licenciado en Medicina y Cirugía (Universidad de Córdoba).  Alcalde de Añora (Córdoba) desde 1999. Parlamentario Andaluz (2008-2012)
Maldonado López, Adriana;Navarra;PSN-PSOE;17/08/2023;04/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciada en LADE Internacional (UPNA).   Máster en Economía Internacional (Universidad Autónoma de Madrid).   Máster Unión Europea, Instituto Europeo.   KPMG - España, consultora.   Real Instituto Elcano, analista.   Parlamento Europeo. 
Marcos Ortega, Milagros;Palencia;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casada. Dos hijos.  Licenciada en Filosofía y Letras. Universidad de Valladolid.  Funcionaria del Cuerpo Facultativo Superior de la Junta de Castilla y León.  Actividad Profesional:  Diputación de Palencia. Centro Coordinador B.  Ayuntamiento de Valladolid. Fundación de Cultura.  Universidad de Valladolid.  Junta de Castilla y León: Consejerías de Cultura, de Medio Ambiente, de Sanidad, de Consejería de Familia e Igualdad de Oportunidades y de Agricultura.  Portavoz del Gobierno de Castilla y León.  Directora General de Planificación Sanitaria y Sociosanitaria.  Gerente de Servicios Sociales.  Consejera de Familia e Igualdad.  Consejera de Agricultura.  Procuradora Cortes Castilla y León.  Coordinación PP CyL con Junta CyL y Grupo Popular Cortes CyL.
Marí Bosó, José Vicente;Balears (Illes);PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado, tres hijos.  Licenciado en Derecho.  Auditor de Cuentas.  Actividad profesional como abogado y auditor de cuentas.  Director General Tesoro 2011-2015 Govern Balear.  Consejero Hacienda Govern Balear 2013-2015.  Senador XIV Legislatura
Mariscal Anaya, Guillermo;Palmas (Las);PP;17/08/2023;10/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Dos hijos.  Licenciado en Derecho. Universidad de Las Palmas de Gran Canaria.  Abogado. 
Programa de Dirección General (PDG) del IESE:"
Mariscal Zabala, Manuel;Toledo;VOX;17/08/2023;11/08/2023;Grupo Parlamentario VOX;18/08/2023;;Graduado en Periodismo y Máster en Estudios Avanzados en Comunicación Política por la Universidad Complutense de Madrid.  Vicesecretario de Comunicación de VOX
Marqués Atés, Amador;Lleida;PSC-PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciado en Periodismo (UAB)  Estudios en Filosofía (UNED)  Alcalde de Bossost (2015-2023)  Diputado provincial (2019-2012)   Consejero del Conselh Generau d¿Aran Apasionado de la cultura, el pensamiento y la montaña
Martín Blanco, Nacho;Barcelona;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado y con tres hijos.  Licenciado en Periodismo y en Ciencias Políticas y de la Administración. Ha colaborado en diversos medios de comunicación tanto escritos como audiovisuales.  Profesor de Gobierno Local y Políticas Públicas en la Universidad Abat Oliba CEU de Barcelona.  Diputado del Parlamento de Cataluña (2017-2023)
Martín García, Pedro Samuel;Salamanca;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Con 2 años, se trasladó a Macotera, Salamanca.   Hace 23 años que vive en Carbajosa de la Sagrada.   Estudios en Psicología.   Curso Superior Universitario de Mediación Familiar, Civil y Mercantil.   Alcalde desde 2009 hasta la actualidad de Carbajosa de la Sagrada, Salamanca.   2007 a 2009 concejal en dicho ayuntamiento. 
Martín Martínez, Andreu;Tarragona;PSC-PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;01/09/2023;;Casado y padre de dos hijos.  licenciado en Ciencias físicas por la UAB.  Diploma de Estudios Avanzados por la URV.  Postgrado en Gobernanza Local por la UAB.  Regidor del Ayuntamiento de Reus de 2011 a 2012.  Consejero del Consell Comarcal del Baix Camp de 2015 a 2019.  Diputado de la Diputación Provincial de Tarragona de 2019 a 2023
Martín Rodríguez, Margarita;Ourense;PsdeG-PSOE;17/08/2023;08/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Casada, dos hijas.
Licenciada en Psicología por la Universidad de Santiago de Compostela.
Postgrado en Mediación Familiar por la Universidad de Vigo.
Concejala en el ayuntamiento de Ourense 2003-2007.
Concejala de Bienestar y Salud 2007-2011 del ayuntamiento de Ourense.
Primera Teniente de alcalde y concejala de Bienestar y Salud 2012-2015 del Ayuntamiento de Ourense.
Secretaria de Política Social de la Comisión Ejecutiva Nacional Gallega del PSdG-PSOE.
Funcionaria de carrera del cuerpo facultativo superior de servicios sociales, especialidad psicología, de la
Administración especial de la Comunidad Autónoma de Galicia.
Coordinadora Técnica del Equipo de Valoración de la Dependencia de Ourense de la Consejería de Política Social de la Xunta de Galicia.
Ex vocal del Consejo de Gobierno de la Red Española de Ciudades Saludables, FEMP."
Martín Urriza, Carlos;Madrid;SUMAR;17/08/2023;10/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Director del Gabinete Económico de la CS de Comisiones Obreras de 2014 a 2023.   Consejero del Consejo Económico y Social de España de 2021 a 2023.   Profesor Asociado de la Universidad de Alcalá de 2018 a 2023.  Miembro de la Comisión Asesora para el Análisis del SMI de 2021 a 2023.  Consejero del Consejo del INSS de 2014 a 2023.   Consejero del Consejo Superior de Estadística de 1996 a 2021.   Miembro del Comité Asesor Europeo sobre Información Estadística en la Esfera Económica y Social (CEIES) .   Consejero del Consejo de Administración del Euro Found de 1999 a 2000.   Miembro de la extinta Junta superior de precios de 1994 a 1996.   Doctor en economía por la Universidad Complutense de Madrid.   Estudios de posgrado en la Escuela de Administración Pública del Instituto Tecnológico de Estudios Superiores de Monterrey, México.   Licenciado en Ciencias Económicas y empresariales por la UCM. 
Martínez Barbero, Verónica;Pontevedra;SUMAR;17/08/2023;16/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Licenciada en Derecho, Universidad de Oviedo.   Graduada en Administración de empresas UDIMA.   Inspectora de Trabajo y Seguridad Social en excedencia.   Presidenta del Consello Galego de Relacións Laborais, 2017-2020.   Directora General de Trabajo, Ministerio de Trabajo y Economía Social, 2020-2023. 
Martínez Gómez, Antonio;Albacete;PP;17/08/2023;04/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Derecho.  Hostelero.  Alcalde de Mahora (2003-actualidad).  Diputado Provincial (2003-2011) (2019-2023).  Diputado Regional Cortes Castilla-La Mancha (2011-2019)
Martínez Hierro, Lander;Bizkaia;SUMAR;17/08/2023;03/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Residente en Bilbao.  Ingeniero informático y máster en comunicación y marketing político.   Ha desempeñado labores de ingeniería y como consultor político.   2016 a 2020, parlamentario y portavoz de Podemos en el Parlamento Vasco.   2017 a 2020.   Secretario General de Podemos Euskadi. 
Martínez Labella, Ana;Almería;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en Ciencias de la Información - Periodismo por la Universidad Complutense de Madrid.  Primer teniente de Alcalde y Concejal de Presidencia y Proyectos Europeos del Ayuntamiento de Almería.
Martínez Ramírez, Carmen;Valencia/València;PSOE;17/08/2023;10/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciada en Medicina y Cirugía en la Universidad de Valencia. Especialidad en Medicina de Familia y Salud Comunitaria.  Alcaldesa de Quart de Poblet, Valencia (1999-2023). Diputada provincial Valencia (2003-2011). Diputada en las Corts Valencianes (2011-2023). Secretaria y Vicepresidenta de las Cort (2011-2019). Secretaria de Sanidad y Salud Mental en la Comisión Ejecutiva Nacional Comunidad Valenciana.
Martínez Salmerón, Joaquín;Murcia;PSOE;17/08/2023;09/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciado en Derecho. Máster en Economía Bancaria. Abogado
Martínez Seijo, María Luz;Palencia;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Licenciada en Filología Inglesa y Doctora en Planificación e Innovación Educativa. 
Habla con fluidez inglés y francés y entiende alemán.
Profesora funcionaria de Inglés de Educación Secundaria.
Ha sido Directora de un Centro de Formación del Profesorado.
Ex becaria Fulbright en Estados Unidos por el Departamento de Estado.
Procuradora de las Cortes de Castilla y León en la VII Legislatura y Portavoz de Educación.
Secretaria Federal de Educación y Universidades del PSOE."
Matos Castro, Sergio Carlos;S/C Tenerife;PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciado en Pedagogía Social. Universidad de Oviedo.  Pedagogo.  Alcalde de Santa Cruz de la Palma (2011-Dic2014 y 2015-2019).  Senador (abril-noviembre 2019)
Matute García de Jalón, Oskar;Bizkaia;EH Bildu;17/08/2023;14/08/2023;Grupo Parlamentario Euskal Herria Bildu;18/08/2023;;"Cursa estudios en empresariales. Ha desempeñado tareas de Portavoz Nacional de Alternativa y Coportavoz nacional de EHBILDU. 
En la actualidad diputado por EHBILDU en el Congreso de los Diputados. Miembro de EHBILDU desde su fundación y ex-parlamentario vasco por esa misma formación."
Mayoral de Lamo, Alberto;Córdoba;PSOE;12/12/2023;12/12/2023;Grupo Parlamentario Socialista;12/12/2023;;
Mayoral Pérez, Jesús;Toledo;PSOE;19/12/2023;19/12/2023;Grupo Parlamentario Socialista;19/12/2023;;Arquitectura técnica.  Ingeniero de la Edificación  Alcalde de Casarrubios del Monte 2015-2023 
Mejías Sánchez, Carina;Barcelona;VOX;17/08/2023;16/08/2023;Grupo Parlamentario VOX;18/08/2023;;Licenciada en Derecho por la Universidad de Barcelona.  Abogado colegiado 35.570. Procurador de los tribunales. Colegiado 390.  Diputado en el Parlament de Cataluña y Concejal en Barcelona.
Melgarejo Moreno, Joaquín;Alicante/Alacant;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Residente en Alicante.  Catedrático de Historia e Instituciones Económicas. Profesor en la Universidad de Alicante.
Mellado Sierra, Valle;Tarragona;PSC-PSOE;17/08/2023;08/08/2023;Grupo Parlamentario Socialista;01/09/2023;;Licenciada en Ciencias Políticas y de la Administración.  Máster en Creación y Dirección de Microempresas.  Postgrado en Comunicación Política
Méndez Monasterio, Lourdes;Murcia;VOX;17/08/2023;09/08/2023;Grupo Parlamentario VOX;18/08/2023;;"Casada. Seis hijos. 
Doctora en Derecho. Abogada en ejercicio.  Máster urbanismo ENAE Business School. Programa de liderazgo para la gestión pública IESE Business School. Programa PEGP IE Business School. Abogada Rotal. Perteneciente al grupo de expertos de la Federación One of Us. 
Concejal en el Ayuntamiento de San Javier (Murcia).  Diputada autonómica (Murcia). Consejera de Trabajo y Política Social de la Región de Murcia.  Autora del libro ""Del derecho a la vida al derecho al aborto, a la luz de los debates parlamentarios y de la Constitución Española (1812-2017)"" Fundación Universitaria Española"
Mercadal Baquero, Pepe;Balears (Illes);PSIB-PSOE;17/08/2023;09/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Grado en Relaciones Internacionales, Universidad Blanquerna.  Máster en Estudios Europeos, London School of Economics.  Becario Blue Book en la Comisión Europea (2018-2019).  Asistente parlamentario acreditado en el Parlamento Europeo (2019-2023)
Merino Martínez, Javier;Rioja (La);PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Derecho. Abogado.  Máster en Derecho Deportivo
Mesquida Mayans, Joan;Balears (Illes);PP;17/08/2023;07/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado y padre de 2 niñas residente en Menorca.   Licenciado en turismo en la Universidad de las Illes Balears.   Director de hotel desde el 2006.   Afiliado desde 2008 al PP.   Miembro de la Junta local de Ciudadela durante 4 años. 
Micó Micó, Àgueda;Valencia/València;SUMAR;17/08/2023;08/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Licenciada en Derecho por la Universitat de Valencia.   Licenciada en Ciencias Políticas y de la Administración por la Universitat Oberta de Catalunya.   Diploma de estudios avanzados por la Universitat de Valencia.   Profesora Asociada de Ciencias políticas de la Universitat de Valencia desde el 2014.   Concejala en el Ayuntamiento de L'Olleria, 2003-2015, Secretaria de organización, Bloc nacionalista Valencia y de Compromís 2012-2016. Secretaria General del Bloc de mes Compromís 2016-2023. Portavoz de Compromís desde el 2016. 
Mínguez García, Montse;Lleida;PSC-PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Dos hijos.  Máster en Contabilidad, Auditoría, Control financiero. UdL  
Licenciada en Administración, Dirección de Empresas. URV.  
Primera Teniente de Alcalde del Ayuntamiento de Lleida.  
Portavoz PSC del Ayuntamiento de Lleida.  
Profesora Asociada UdL en asignatura de Control y Gestión Presupuestario de tercer curso del Grado de ADE. "
Miñones Conde, José;Coruña (A);PsdeG-PSOE;17/08/2023;14/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casado. Dos hijos.  Licenciado en Farmacia. Doctor en Farmacia por la Universidad de Santiago de Compostela. Premio extraordinario de Doctorado. Contratado Parga Pondal. Profesor Universitario de la USC.  Ministro de Sanidad (actualidad). Ex-delegado del Gobierno en Galicia (2021-2023). Ex Alcalde de Ames (A Coruña) (2015-2021). Vicepresidente de la Red de Ciudades Saludables (2015-2019).
Moneo Díez, María Sandra;Burgos;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Casada. Dos hijas. 
 Licenciada en Derecho. Programa de Liderazgo para la Gestión Pública del IESE. 
"
Montero Cuadrado, María Jesús;Sevilla;PSOE;17/08/2023;16/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Licenciada en Medicina por la Universidad de Sevilla  Subdirectora Médica del Hospital de Valme  Subdirectora Gerente del Hospital Virgen del Rocío.  Viceconsejera de Salud de la Junta de Andalucía 2002-2004.  Consejera de Salud de la Junta de Andalucía 2004-2012.  Consejera de Salud y Bienestar Social de la Junta de Andalucía 2012-2013.  Consejera de Hacienda y Administración Pública de la Junta de Andalucía 2013-2018. 
Ministra de Hacienda del Gobierno de España (2018-2019).	"
Montesinos de Miguel, Macarena;Alicante/Alacant;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casada, dos hijos.  Directora de recursos humanos  Diputada a Cortes Valencianas IV, V y VI Legislaturas.  Concejala del Ayuntamiento de Alicante
Moraleja Gómez, Tristana María;Coruña (A);PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en Ciencias Económicas y Empresariales. Máster en Administración Financiera y Tributaria.  Funcionaria del Cuerpo Superior de la Xunta de Galicia (Grupo 1).  Concejala en el Ayuntamiento de Oleiros (A Coruña).  Concejala en el Ayuntamiento de Oleiros (A Coruña) (2015-2021)
Morales Álvarez, Álvaro;Burgos;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casado, un hijo.  Concejal Ayuntamiento de Briviesca.  Alcalde de Briviesca (2019-2023).  Secretario General Agrupación PSOE Briviesca.  Vocal de la Comisión Ejecutiva Provincial de Burgos
Moreno Fernández, Mª Isabel;Cádiz;PSOE;12/12/2023;12/12/2023;Grupo Parlamentario Socialista;12/12/2023;;Licenciada en Veterinaria. Profesora de Secundaría (Biología y geología).  Alcaldesa de El Gastor.  Secretaria General PSOE El Gastor. Secretaria de Sostenibilidad y Medio rural de la Comisión Ejecutiva Provincial de Cádiz.
Moro Almaraz, María Jesús;Salamanca;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Una hija. 
Doctora en Derecho. Profesora titular de Derecho Civil en la Universidad de Salamanca. Directora Grupo Investigación sobre Derecho y Nuevas Tecnologías. Ha ocupado diversos puestos de gestión en la universidad. Directora de cursos extraordinarios, tercer ciclo. Subdirectora Departamento. Directora Área Jurídica. Tiene numerosas publicaciones en derecho de familia y derecho patrimonial. 
Procuradora en las Cortes de Castilla y León (2007-2011). Portavoz adjunta en las Cortes de Castilla y León en la VII Legislatura (2007-2011). Portavoz universidades en el Congreso (2011-2015). Vicesecretaria de Organización del Partido Popular de Salamanca. Secretaria de Asesoría Jurídica del Partido Popular de Castilla y León. Miembro Comité Ejecutivo PP CyL. Miembro del Comité Ejecutivo PPCyL y PP Salamanca.  En XI y XII Legislatura Portavoz de Justicia en el Congreso.  Secretaria Ejecutiva de Regeneración Institucional del Partido Popular"
Muñoz Abrines, Pedro;Madrid;PP;17/08/2023;10/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado, dos hijos.  Licenciado en Derecho.  Curso Ejec. Gestión (IE).  Diputado Asamblea de Madrid (III a XIII Legislaturas), habiendo desarrollado la responsabilidad de portavoz Adjunto del Grupo Popular en varias legislaturas y portavoz en XIII legislatura
Muñoz de la Iglesia, Ester;León;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en Derecho Universidad de León  Máster de Derecho Internacional Privado Universidad de Murcia  Senadora por León 2016-2019 Delegada territorial de la Junta de Castilla y León 2021-2023
Nacarino-Brabo Jiménez, Aurora;Madrid;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en periodismo por la URJC. Máster en Gobierno y Administración Pública por la Fundación Ortega-Marañón. Máster en Democracia y Gobierno por la UAM. Editora, analista política, docente en masters.
Narbona Ruiz, Cristina;Madrid;PSOE;17/08/2023;14/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciada en Ciencias Económicas.   Profesora de Economía Internacional en la Universidad de Sevilla.   Viceconsejera de Economía de la Junta de Andalucía, 1982-1985.   Directora General del BHE, 1985-1991.   Directora General de Vivienda, 1991-1993.   Secretaria de Estado de Medio Ambiente, 1993-1996.   Ministra de Medio Ambiente, 2004-2008.   Embajadora ante la OCDE, 2008-2011.   Presidenta PSOE, 2017-actualidad.   Miembro de la Global Sustainibility Panel de Naciones Unidas, 2010-2013.   Miembro de la global Ocean Commission, 2013-2015.   Miembro de la Red Española de Desarrollo Sostenible. 
Nasarre Oliva, Begoña;Huesca;PSOE;17/08/2023;08/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Técnico Informático.  Senadora en la XI y XII Legislaturas.  Alcaldesa del Ayuntamiento de Alcolea de Cinca, Huesca, desde mayo de 2019.  Diputada de las Cortes de Aragón (Junio 2015- Diciembre 2015).  Secretaria de Política Autonómica del PSOE de Aragón
Navarro Lacoba, Carmen;Albacete;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Diputada nacional y Secretaria cuarta de la Mesa del Congreso de los Diputados en la XV Legislatura.  Licenciada en Derecho por la Universidad de Castilla La Mancha.  Ingresó en el Cuerpo de Letrados de la Comunidad de Madrid por oposición en 2006.  Máster en Gestión de Administraciones Públicas por el Programa Executive de ESADE.  Diplomada en Altos Estudios de la Defensa Nacional por el Centro Superior de Estudios de la Defensa Nacional (CESEDEN)  Funcionaria en el Área Jurídica de Servicios Contenciosos de la Presidencia de la Comunidad de Madrid de 2006 hasta 2011.  Directora del Servicio Jurídico de Presidencia de la Diputación Provincial de Albacete en 2011.  Directora provincial de Sanidad y Servicios Sociales de la Junta de Comuinidades de Castilla La Mancha entre 2012 y 2016.  Diputada por Albacete desde enero de 2016 en las XI, XII, XIII, XIV y XV Legislaturas.  Portavoz de la Comisión de Transición Ecológica y Reto Demográfico. También ha sido portavoz adjunta de la Comisión de Política Territorial y Función Pública, así como vocal en la Comisión Constitucional, la Comisión de Derechos Sociales y Políticas Integrales de la Discapacidad y la Comisión de Igualdad  Casada y madre de dos hijos.
Navarro López, Pedro;Zaragoza;PP;17/08/2023;10/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado. Tres hijos.  Licenciado en Derecho y Máster en Logística por la Universidad de Zaragoza.  Profesor de Sociología.  Coordinador General Alcaldía de Zaragoza  Concejal del Ayuntamiento de Zaragoza (2011-2019)  Diputado de las Cortes de Aragón (2007-2011)
Nogueras i Camero, Míriam;Barcelona;JxCAT-JUNTS;17/08/2023;10/08/2023;Grupo Parlamentario Junts per Catalunya;28/08/2023;;
Noriega Gómez, Javier;Cantabria;PP;17/08/2023;07/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado, padre de 3 hijos.   Abogado con despacho propio abierto en la ciudad de Santander desde hace 30 años.   Presidente del Comité de Derechos y Garantías del PP de Cantabria.   Miembro del Comité Ejecutivo del PP de Cantabria. 
Núñez Feijóo, Alberto;Madrid;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Padre de Alberto Núñez de Cardenal. . Licenciado en Derecho (1979-1984) Compostela. Grupo A. Técnico Superior Xunta de Galicia 1985. Alto cargo del Gobierno de España (1996-2003). Alto cargo en la Xunta de Galicia (1991-1996). Miembro Gobierno y Presidente de la Xunta de Galicia (2003-2005 ; 2009-2021). Presidente del Partido Popular de España (2022-2023)."
Núñez González, Noelia;Madrid;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Siempre ha vivido en Fuenlabrada. . Educación secundaria en Colegio Albante. Bachillerato de Ciencias de la Salud en Colegio Khalil Gibrán. Doble grado en Derecho y Ciencias Jurídicas de la Administración Pública. Concejal en el Ayuntamiento de Fuenlabrada desde 2015. Diputada en la Asamblea de Madrid de 2021 a 2023.
Núñez Guijarro, José Enrique;Madrid;PP;30/01/2024;30/01/2024;Grupo Parlamentario Popular en el Congreso;30/01/2024;;"Licenciado en Derecho por la Universidad Complutense de Madrid.  Grado en Ciencia Política y de la Administración UNED  Funcionario de Carrera Escala Técnica Gestión A1 (UCM)  Teniente de Alcalde del Ayuntamiento de Madrid 
Viceconsejero de Justicia de la CAM  Director General de Seguridad y Director General de Emergencias de la CAM  Diputado de la Asamblea de Madrid.  Curso de Conocimiento de Instituciones Europeas.  Curso de Preparación de Cancilleres  Curso Monográfico de Defensa Nacional."
Olano Vela, Jaime Eduardo de;Lugo;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado, una hija.  Licenciado en Derecho.  Abogado.  Concejal en Viveiro desde 2011.
Ortega Smith-Molina, Francisco Javier;Madrid;VOX;17/08/2023;16/08/2023;Grupo Parlamentario VOX;18/08/2023;;Casado.  Abogado ejerciente Colegio de Madrid.  Secretario General de VOX
Palencia Rubio, Héctor;Ávila;PP;17/08/2023;31/07/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Ingeniero Técnico de Obras Públicas  Técnico evaluador de Impacto Ambiental  Técnico Superior en prevención de Riesgos Laborales, Seguridad, Higiene y Ergonomía  Gerente del Centro Comercial El Bulevar de Ávila.  Gerente de la Fundación Óbila  Labores de coordinación de seguridad y salud en fase de ejecución en las obras del Ministerio de Fomento en la provincia de Ávila: autovía Ávila Salamanca desdoblamiento de la circunvalación de Ávila.  Asesoramiento en Prevención de Riesgos en I+D para MINTRA para las obras de ampliación de Metro de Madrid, trabajos del Ministerio de Medio Ambiente Demarcación de Carreteras de Madrid y Consorcio Urbanístico de la Ciudad Universitaria de Madrid.   Técnico en Prevención de Riesgos Laborales y Coordinación de seguridad y salud en la conservación y explotación de obras nuevas y travesías de la Consejería de Fomento en las provincias de Ávila y Palencia  Miembro de la dirección facultativa en la construcción de la autopista y obra civil ASI Ávila Villacastín  Concejal Coordinador del Área de Turismo, Patrimonio Histórico y Comercio del Ayuntamiento de Ávila 2011-2015  Teniente de Alcalde de Servicios a la Ciudad, Turismo y Patrimonio Histórico del Excelentísimo Ayuntamiento de Ávila 2015-2019  Director de Administración Local de la Junta de Castilla y León 2019-2022  Director de Gabinete del Presidente de la Junta de Castilla y León 2022-2023  Cruz al Mérito Policial distintivo blanco
Paniagua Núñez, Miguel Ángel;Palencia;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Divorciado, un hijo y una hija.  Licenciado en Ciencias Económicas y Empresariales en la Universidad de Valladolid.  Executive MBA por la Escuela Europea de Negocios.  European Financial Advisor y miembro de EFPA España-  Programa de Gobernanza del Sector Público en ESADE.  Asesoría y Gestión Fiscal de Inversiones en CEPADE.  18 años en el sector bancario.  7 años como Agente de Banca privada y Asesor financiero de empresas.   2 años como Secretario de Comunicación del Sindicato CSICA-CE.  Impulsor y coordinador del Comité de Participación del Partido Popular de Palencia.  Fundador y miembro de la Junta Directiva del Ateneo de Palencia
Paré Aregall, Josep;Barcelona;PSC-PSOE;10/01/2024;09/01/2024;Grupo Parlamentario Socialista;10/01/2024;;Licenciado en Economía. Máster en Hacienda Autonómica y Local. Posgrado en Auditoría Pública.  Concejal del Ayuntamiento de Centelles (2003-2019). Alcalde del Ayuntamiento de Centelles (2019-actualidad). Secretario de Organización PSC Osona
Parra Aparicio, Julia;Alicante/Alacant;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Administración.  Asesora grupo municipal.  Concejala del Ayuntamiento de Sant Joan d'Alacant. Diputada de Cultura y Transparencia de la Diputación de Alicante (2019-2023). Vicepresidenta de la Diputación de Alicante (2019-2023).
Parra Gallego, Agustín;Barcelona;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado con dos hijos.  Economista. Colegiado 15821 Colegio Economistas de Catalunya. Miembro del Registro de Economistas Docentes e Investigadores del Consejo General de Economistas de España.  Dirección empresas tecnológicas. (URL)  MBA (UCJC)  Concejal Ayuntamiento de Esplugues.  Secretario General PP Esplugues.  Vicesecretario General de Organización PP Barcelona. 
