NOMBRE;CIRCUNSCRIPCION;FORMACIONELECTORAL;FECHACONDICIONPLENA;FECHAALTA;GRUPOPARLAMENTARIO;FECHAALTAENGRUPOPARLAMENTARIO;FECHABAJAENGRUPOPARLAMENTARIO;BIOGRAFIA
Guardiola Salmerón, Mirian;Murcia;PP;19/09/2023;18/09/2023;Grupo Parlamentario Popular en el Congreso;19/09/2023;;Licenciada en Derecho por la Universidad de Murcia.  Abogada y mediadora civil y mercantil.  Diputada de la Junta de Gobierno en el ICAMUR (2017-2020).  Consejera de Turismo y Cultura del Gobierno Regional (2018-2019).  Diputada Asamblea Regional X Legislatura (2019-2023).  Diputada Asamblea Regional XI Legislatura (2023- ).  Portavoz del Partido Popular de la Región de Murcia.  Portavoz adjunto de la Asamble Regional.  Presidenta del Partido Popular de Cieza.  Presidenta de la Comisión de Asuntos Generales, Institucionales, Unión Europea y Derechos Humanos (2019-2023).  Presidenta de la Comisión de Infancia y Adolescencia (2019-2023).  Miembro y representante autonómica de la Región de Murcia en el Comité de Entidades Locales y Regionales de Europa.  Miembro de la Comisión de Industria, Trabajo, Comercio y Turismo (2019-2023).  Miembro de la Comisión de Reactivación Económica y Social Coria (2020-2023).  Portavoz adjunta del Grupo Parlamentario Popular en la Asamblea Regional de Murcia en la X y XI Legislaturas
Guerra López, Sonia;Barcelona;PSC-PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casada. Madre de dos hijos.  Licenciada en Historia por la Universidad de Barcelona.  Máster en Estudios de Mujeres (UB), Postgrado en Políticas Sociales y Comunitarias (UAB), Máster en Gestión Pública (ESADE).   Secretaria de Políticas Feministas del PSC.  Secretaria de Política Municipal del PSC del Baix Llobregat.
Guijarro Ceballos, María;Bizkaia;PSE-EE (PSOE);17/08/2023;04/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciada en Ciencias de la Información 1994.  Máster en Ayuda Humanitaria Internacional 1995.  Postgrado especialización Protocolo y Relaciones Públicas Universidad de Deusto.  Directora de igualdad, Cooperación y Diversidad DFB 2015-2019.  Secretaria de Igualdad y Convivencia de la Ejecutiva Socialista de Bizkaia.  Experiencia internacional	
Guijarro García, Txema;Alicante/Alacant;SUMAR;17/08/2023;03/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;"Licenciado en Economía por la Universidad Autónoma de Madrid. 
Miembro del equipo de programa de Podemos."
Guinart Moreno, Lídia;Barcelona;PSC-PSOE;17/08/2023;14/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Casada. Una hija. 
Periodista y escritora. . 
Licenciada en Ciencias de la Información (UAB). . 
Posgrado en periodismo digital (UOC). . 
Estudios de Ciencias Políticas (UNED). 
Teniente de Alcalde en el Ayuntamiento de Santa Coloma de Gramenet (2011-2015). . 
Consellera Nacional del PSC.. 
Secretaria de Políticas Feministas en la Federación del Barcelonès Nord del PSC"
Gutiérrez Prieto, Sergio;Toledo;PSOE;17/08/2023;10/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciado en Derecho por la UCM.  Máster en Dirección de Empresas por la Universidad Carlos III  Curso especializado en Dirección de Recursos Humanos por el IESE.  Diputado en el Parlamento Europeo desde 2010 hasta mayo de 2019.  Vicepresidente de la Comisión de Mercado Interior.  Secretario de Organización del PSOE de CLM
Gutiérrez Santiago, Víctor;Madrid;PSOE;05/12/2023;05/12/2023;Grupo Parlamentario Socialista;05/12/2023;;Doble grado Periodismo y Comunicación Audiovisual (URJC)  Máster Comunicación Corporativa, Eventos y Protocolo (ESERP)  MBA (UCAM)  Jugador Profesional de Waterpolo  Secretario de Políticas LGTBI del PSOE  Autor del libro ""Balón amarillo, bandera arcoiris""
Hernández Quero, Carlos;Málaga;VOX;17/08/2023;16/08/2023;Grupo Parlamentario VOX;18/08/2023;;Dotor en Historia Contemporánea por la Universidad Complutense de Madrid. Investigador en dicha universidad (2015-2020). Archivero en un archivo histórico municipal (2020-2021). Consultor político en diversas entidades (2021-2023).
Hernando Fraile, Rafael Antonio;Almería;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Tres hijos.  Senador en la IV, XIII y XV Legislaturas. Diputado autonómico (1987-1989). Concejal (1983-1987).  Abogado.  Máster en Administración y Dirección de Empresas por ICADE.
Herrera García, Milena;Balears (Illes);PSIB-PSOE;17/08/2023;09/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciatura en Periodismo.  Experta universitaria en Evaluación de Impacto de Género.  Miembro de la Comisión Ejecutiva del PSIB-PSOE y de la Comisión Ejecutiva de la PSE-PSOE.  Exjefa de Gabinete del Ajuntament d'Eivissa.  Jefa de la Secretaría de Proyectos del Gabinete de la Presidencia del Govern de les Illes Balears.  Jefa de Gabinete de la Conselleria de Mobilitat i Habitatge del Govern de les Illes Balears
Herrero Bono, José Alberto;Teruel;PP;17/08/2023;14/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Ingeniero Mecánico  Máster en Prevención de Riesgos Laborales.   Máster Profesorado de E.S.O. y F.P.  Alcalde de Calanda desde 2019.  Vicesecretario de Formación del PP de Teruel.  Miembro del Comité Ejecutivo del PP nacional.
Hispán Iglesias de Ussel, Pablo;Granada;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Ciencias Económicas y Empresariales (Universidad de Navarra)  Doctor en Historia Contemporánea (Universidad de Navarra).  Profesor Máster RR.II. Universidad San Pablo-CEU  Director de Gabinete del Presidente del PP
Hoces Íñiguez, Ignacio;Badajoz;VOX;17/08/2023;09/08/2023;Grupo Parlamentario VOX;18/08/2023;;Doctor en Derecho (UCAM). Doctor en Ciencias Políticas, de la Administración y Relaciones Internacionales (UCM). Licenciado en Derecho (UCM). Licenciado en Historia (UCM). Responsable Área Jurídica CES (2011-2021).  Profesor.
Hoyo Juliá, Belén;Valencia/València;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Dos hijas.  
Licenciada en Derecho por la Universitat de Valencia. Licenciada en Ciencias Políticas y de la Administración por la Universitat de Valencia. Estudios en Humanidades de la Universitat de Valencia.  
Vicesecretaria de Organización Nacional de Nuevas Generaciones del Partido Popular.  Coordinadora General del Partido Popular de la Provincia de Valencia.  Actualmente es miembro del Comité Electoral Nacional del Partido Popular y Coordinadora de Política Nacional del Partido Popular de la Comunidad Valenciana.  Abogada.  Ha trabajado en la Fundación de Atención a las víctimas del Delito y Encuentro Familiar.  Secretaria General del Institut Valenciá de la Joventut y Directora General de Juventud de la Generalitat Valenciana."
Huguet Tous, Pedro Luis;Tarragona;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado, dos hijos  Abogado   Decano del Colegio de Abogados de Reus 2013-2016   Presidente del Consejo de Abogacía Catalana 2006-2007  Vicepresidente Consejo General de la Abogacía Española 2009-2015   Diputado provincial de Tarragona 2021-2023   Concejal Ayuntamiento de Salou 2019-2023
