codigo_mun,mun,election,censo,perc_escrutado,blancos,nulos,candidaturas,part,codigo_candidatura,partido,orden,votos,perc_votos
27021,Xermade,2024,1519,100,7,20,989,66.88,0013,ECG,10,2,0.2
27022,Guitiriz,2024,4446,100,24,43,2873,66.12,0012,PACMA,7,4,0.13
27023,Guntín,2024,2307,100,15,18,1778,78.5,0004,SUMAR,5,3,0.16
27024,O Incio,2024,1387,100,5,10,1028,75.19,0001,PODEMOS,8,1,0.09
27025,Xove,2024,2648,100,12,26,1903,73.3,0012,PACMA,7,7,0.36
27026,Láncara,2024,2140,100,8,16,1458,69.25,0004,SUMAR,5,3,0.2
27027,Lourenzá,2024,1710,100,11,18,1277,76.37,0009,PUM+J,11,3,0.23
27028,Lugo,2024,77616,100,506,515,52310,68.71,0006,ESCANOS EN BRANCO,9,373,0.7
27029,Meira,2024,1381,100,17,11,1020,75.88,0012,PACMA,7,2,0.19
27030,Mondoñedo,2024,2942,100,13,25,1940,67.23,0006,ESCANOS EN BRANCO,9,5,0.25
27031,Monforte de Lemos,2024,14715,100,93,145,9319,64.94,0012,PACMA,7,26,0.27
27032,Monterroso,2024,3079,100,17,19,2148,70.93,0004,SUMAR,5,5,0.23
27033,Muras,2024,535,100,4,5,366,70.09,0001,PODEMOS,8,1,0.27
27034,Navia de Suarna,2024,924,100,2,15,618,68.72,0004,SUMAR,5,1,0.16
27035,Negueira de Muñiz,2024,197,100,0,0,101,51.26,0001,PODEMOS,8,0,0
27037,As Nogais,2024,887,100,6,7,695,79.81,0001,PODEMOS,8,2,0.28
27038,Ourol,2024,862,100,5,8,608,72.04,0009,PUM+J,11,1,0.16
27039,Outeiro de Rei,2024,4537,100,32,44,3404,76.7,0004,SUMAR,5,12,0.34
27040,Palas de Rei,2024,2879,100,14,15,2109,74.26,0001,PODEMOS,8,4,0.18
27041,Pantón,2024,2064,100,13,8,1522,74.75,0001,PODEMOS,8,4,0.26
27042,Paradela,2024,1480,100,8,11,1147,78.78,0004,SUMAR,5,1,0.08
27043,O Páramo,2024,1172,100,7,6,781,67.74,0004,SUMAR,5,4,0.5
27044,A Pastoriza,2024,2480,100,17,25,1685,69.63,0004,SUMAR,5,4,0.23
27045,Pedrafita do Cebreiro,2024,857,100,3,6,601,71.17,0006,ESCANOS EN BRANCO,9,2,0.33
27046,Pol,2024,1362,100,6,16,1036,77.67,0004,SUMAR,5,3,0.28
27047,A Pobra do Brollón,2024,1417,100,8,5,1013,72.4,0001,PODEMOS,8,2,0.19
27048,A Pontenova,2024,1857,100,11,11,1325,72.53,0001,PODEMOS,8,3,0.22
27049,Portomarín,2024,1210,100,3,11,888,74.54,0012,PACMA,7,1,0.11
27050,Quiroga,2024,2677,100,10,26,1804,68.73,0012,PACMA,7,6,0.33
27051,Ribadeo,2024,7992,100,37,47,5268,66.96,0012,PACMA,7,13,0.24
27052,Ribas de Sil,2024,811,100,2,2,572,71.02,0009,PUM+J,11,1,0.17
27053,Ribeira de Piquín,2024,464,100,2,7,372,82.11,0013,ECG,10,1,0.26
27054,Riotorto,2024,1052,100,4,13,828,80.32,0004,SUMAR,5,2,0.24
27055,Samos,2024,1100,100,3,5,851,78.09,0001,PODEMOS,8,2,0.23
27056,Rábade,2024,1177,100,4,9,813,70.17,0001,PODEMOS,8,2,0.24
27057,Sarria,2024,10826,100,64,89,7375,69.53,0001,PODEMOS,8,17,0.22
27058,O Saviñao,2024,3065,100,14,27,2212,73.5,0004,SUMAR,5,2,0.08
27059,Sober,2024,1885,100,10,31,1325,72.46,0001,PODEMOS,8,2,0.14
27060,Taboada,2024,2266,100,3,10,1613,71.75,0006,ESCANOS EN BRANCO,9,3,0.18
27061,Trabada,2024,986,100,4,14,786,81.54,0004,SUMAR,5,2,0.25
27062,Triacastela,2024,539,100,2,4,435,81.81,0006,ESCANOS EN BRANCO,9,1,0.22
27063,O Valadouro,2024,1605,100,11,15,1102,70.28,0012,PACMA,7,2,0.17
27064,O Vicedo,2024,1429,100,12,18,939,67.8,0012,PACMA,7,2,0.21
27065,Vilalba,2024,11644,100,97,124,7669,67.76,0012,PACMA,7,9,0.11
27066,Viveiro,2024,12266,100,59,108,7883,65.62,0012,PACMA,7,24,0.3
27901,Baralla,2024,2169,100,21,11,1558,73.3,0004,SUMAR,5,3,0.18
27902,Burela,2024,6989,100,26,61,4374,63.82,0012,PACMA,7,12,0.27
32001,Allariz,2024,5215,100,27,33,3576,69.72,0004,SUMAR,5,30,0.83
32002,Amoeiro,2024,2095,100,7,2,1448,69.54,0004,SUMAR,5,3,0.2
32003,A Arnoia,2024,864,100,2,5,637,74.53,0004,SUMAR,5,1,0.15
32004,Avión,2024,1532,100,3,2,780,51.24,0012,PACMA,7,1,0.12
32005,Baltar,2024,743,100,2,4,553,75.23,0012,PACMA,7,1,0.18
32006,Bande,2024,1339,100,7,6,981,74.23,0001,PODEMOS,8,2,0.2
32007,Baños de Molgas,2024,1376,100,3,2,929,67.87,0012,PACMA,7,3,0.32
32008,Barbadás,2024,8774,100,41,43,5748,66.46,0004,SUMAR,5,48,0.82
32009,O Barco de Valdeorras,2024,10138,100,47,52,6161,61.74,0004,SUMAR,5,59,0.95
32010,Beade,2024,325,100,3,1,242,75.69,0013,ECG,10,1,0.4
32011,Beariz,2024,879,100,1,7,470,54.37,0017,DO,6,3,0.63
32012,Os Blancos,2024,650,100,1,3,443,68.76,0004,SUMAR,5,2,0.45
32013,Boborás,2024,1942,100,4,3,1333,69,0004,SUMAR,5,5,0.37
