election,codigo_mun,mun,censo,votantes,part,candidaturas,blancos,nulos,abstenciones,partido,votos,votos_pc
1985,15023,Cee,5726,NA,NA,3529,0,NA,NA,PP,1232,34.91
1985,15023,Cee,5726,NA,NA,3529,0,NA,NA,PSG-PSOE,1349,38.23
1985,15023,Cee,5726,NA,NA,3529,0,NA,NA,CG,169,4.79
1985,15023,Cee,5726,NA,NA,3529,0,NA,NA,EG,134,3.8
1985,15023,Cee,5726,NA,NA,3529,0,NA,NA,BNG,477,13.52
1985,15023,Cee,5726,NA,NA,3529,0,NA,NA,Otros,168,4.76
1985,15028,Corcubión,1555,NA,NA,1035,0,NA,NA,PP,324,31.3
1985,15028,Corcubión,1555,NA,NA,1035,0,NA,NA,PSG-PSOE,147,14.2
1985,15028,Corcubión,1555,NA,NA,1035,0,NA,NA,CG,32,3.09
1985,15028,Corcubión,1555,NA,NA,1035,0,NA,NA,EG,46,4.44
1985,15028,Corcubión,1555,NA,NA,1035,0,NA,NA,BNG,456,44.06
1985,15028,Corcubión,1555,NA,NA,1035,0,NA,NA,Otros,30,2.9
1985,15034,Dumbría,3525,NA,NA,1908,0,NA,NA,PP,736,38.57
1985,15034,Dumbría,3525,NA,NA,1908,0,NA,NA,PSG-PSOE,606,31.76
1985,15034,Dumbría,3525,NA,NA,1908,0,NA,NA,CG,215,11.27
1985,15034,Dumbría,3525,NA,NA,1908,0,NA,NA,EG,27,1.42
1985,15034,Dumbría,3525,NA,NA,1908,0,NA,NA,BNG,198,10.38
1985,15034,Dumbría,3525,NA,NA,1908,0,NA,NA,Otros,126,6.6
1985,15037,Fisterra,3873,NA,NA,2485,0,NA,NA,PP,1303,52.43
1985,15037,Fisterra,3873,NA,NA,2485,0,NA,NA,PSG-PSOE,548,22.05
1985,15037,Fisterra,3873,NA,NA,2485,0,NA,NA,CG,233,9.38
1985,15037,Fisterra,3873,NA,NA,2485,0,NA,NA,EG,54,2.17
1985,15037,Fisterra,3873,NA,NA,2485,0,NA,NA,BNG,208,8.37
1985,15037,Fisterra,3873,NA,NA,2485,0,NA,NA,Otros,139,5.59
1985,15052,Muxía,5372,NA,NA,2933,0,NA,NA,PP,1690,57.62
1985,15052,Muxía,5372,NA,NA,2933,0,NA,NA,PSG-PSOE,756,25.78
1985,15052,Muxía,5372,NA,NA,2933,0,NA,NA,CG,83,2.83
1985,15052,Muxía,5372,NA,NA,2933,0,NA,NA,EG,42,1.43
1985,15052,Muxía,5372,NA,NA,2933,0,NA,NA,BNG,179,6.1
1985,15052,Muxía,5372,NA,NA,2933,0,NA,NA,Otros,183,6.24
1985,15020,Carnota,5595,NA,NA,2940,0,NA,NA,PP,722,24.56
1985,15020,Carnota,5595,NA,NA,2940,0,NA,NA,PSG-PSOE,785,26.7
1985,15020,Carnota,5595,NA,NA,2940,0,NA,NA,CG,331,11.26
1985,15020,Carnota,5595,NA,NA,2940,0,NA,NA,EG,75,2.55
1985,15020,Carnota,5595,NA,NA,2940,0,NA,NA,BNG,884,30.07
1985,15020,Carnota,5595,NA,NA,2940,0,NA,NA,Otros,143,4.86
1985,15053,Muros,9063,NA,NA,5125,0,NA,NA,PP,1578,30.79
1985,15053,Muros,9063,NA,NA,5125,0,NA,NA,PSG-PSOE,2012,39.26
